gen_tokens,mode,step_idx,median_ms,p95_ms,std_ms
64,fp16_static_compiled_attn_only_deltanet,62,34.05885,36.957853,1.513208
64,fp16_static_compiled_attn_only_deltanet,63,34.577606,39.456212,2.369621
128,fp16_eager,1,34.190753,34.931921,0.361129
128,fp16_eager,2,34.978159,37.624705,1.372892
128,fp16_eager,3,34.610346,34.971169,0.392149
128,fp16_eager,4,35.579854,36.983947,0.873752
128,fp16_eager,5,35.288835,37.9089,1.338778
128,fp16_eager,6,35.439277,39.49181,2.3589
128,fp16_eager,7,34.803548,36.622944,0.891656
128,fp16_eager,8,34.746676,35.968087,0.83812
128,fp16_eager,9,34.47634,37.413884,1.45571
128,fp16_eager,10,35.405476,35.551888,0.458737
128,fp16_eager,11,35.590802,36.435212,0.893334
128,fp16_eager,12,34.557591,35.402702,0.747096
128,fp16_eager,13,35.114769,41.595206,3.344792
128,fp16_eager,14,34.632238,36.215431,0.886368
128,fp16_eager,15,34.549384,36.985906,1.478402
128,fp16_eager,16,35.971972,46.343139,5.506887
128,fp16_eager,17,35.305455,37.712787,1.521735
128,fp16_eager,18,36.764761,42.888206,3.481049
128,fp16_eager,19,36.11306,36.303174,0.8179
128,fp16_eager,20,34.35473,35.245871,0.50818
128,fp16_eager,21,34.647976,35.905779,0.92791
128,fp16_eager,22,34.310402,35.70219,0.818568
128,fp16_eager,23,34.850555,37.695607,1.34363
128,fp16_eager,24,34.053514,36.175865,1.365189
128,fp16_eager,25,35.468379,37.601323,1.339581
128,fp16_eager,26,35.830012,36.475243,0.716903
128,fp16_eager,27,36.656121,37.43007,0.666021
128,fp16_eager,28,35.220446,38.639741,1.869575
128,fp16_eager,29,34.09188,36.670945,1.46676
128,fp16_eager,30,35.306812,37.251822,1.24816
128,fp16_eager,31,34.89994,35.935887,0.55379
128,fp16_eager,32,35.642388,37.250725,1.376524
128,fp16_eager,33,34.600538,35.801064,1.04378
128,fp16_eager,34,36.108975,37.178612,1.091848
128,fp16_eager,35,35.351715,36.283254,0.89555
128,fp16_eager,36,35.312549,39.368923,2.303871
128,fp16_eager,37,35.452155,35.74995,0.504335
128,fp16_eager,38,35.198222,36.441042,0.663094
128,fp16_eager,39,35.30168,37.631009,1.518843
128,fp16_eager,40,36.407336,41.748434,3.19101
128,fp16_eager,41,34.902328,36.494106,0.926789
128,fp16_eager,42,34.944111,39.415544,2.31126
128,fp16_eager,43,35.045217,38.302839,1.691915
128,fp16_eager,44,36.736957,37.654594,1.446152
128,fp16_eager,45,34.876251,37.395845,1.499731
128,fp16_eager,46,34.647282,36.40474,1.254716
128,fp16_eager,47,36.120073,38.988502,2.249564
128,fp16_eager,48,35.737885,39.800728,2.436145
128,fp16_eager,49,34.746629,37.524745,1.49361
128,fp16_eager,50,35.204135,43.472155,3.960014
128,fp16_eager,51,35.383196,38.850053,1.671791
128,fp16_eager,52,34.815115,41.528695,3.394604
128,fp16_eager,53,35.210267,40.145664,2.615151
